Name,new_Name,geo_loc
Banashankari,Bangalore Banashankari,"(15.8876779, 75.7046777)"
Basavanagudi,Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
Mysore Road,Bangalore Mysore Road,"(12.9467026, 77.5300705)"
Jayanagar,Bangalore Jayanagar,"(12.9292731, 77.5824229)"
Kumaraswamy Layout,Bangalore Kumaraswamy Layout,"(12.9067683, 77.5595021)"
Rajarajeshwari Nagar,Bangalore Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
Vijay Nagar,Bangalore Vijay Nagar,"(23.1883478, 79.9092722)"
Uttarahalli,Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
JP Nagar,Bangalore JP Nagar,"(12.9096941, 77.5866067)"
South Bangalore,Bangalore South Bangalore,"(12.98815675, 77.62260003796)"
City Market,Bangalore City Market,"(39.76880625, -86.15345077251979)"
Bannerghatta Road,Bangalore Bannerghatta Road,"(12.910990393293789, 77.6000150374556)"
BTM,Bangalore BTM,"(45.95485055, -112.49659530324134)"
Kanakapura Road,Bangalore Kanakapura Road,"(12.93086615, 77.57619115)"
Bommanahalli,Bangalore Bommanahalli,"(13.1273532, 77.35982602390163)"
CV Raman Nagar,Bangalore CV Raman Nagar,"(17.2510682, 80.1651978)"
Electronic City,Bangalore Electronic City,"(12.8436448, 77.6686835)"
Sarjapur Road,Bangalore Sarjapur Road,"(12.924399175056287, 77.65112129525873)"
Wilson Garden,Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
Shanti Nagar,Bangalore Shanti Nagar,"(22.478459, 88.3541291)"
Koramangala 5th Block,Bangalore Koramangala 5th Block,"(12.9348429, 77.6189768)"
Richmond Road,Bangalore Richmond Road,"(40.60870780172884, -74.09088360811757)"
HSR,Bangalore HSR,"(29.1523467, 75.7245798)"
Marathahalli,Bangalore Marathahalli,"(12.9552572, 77.6984163)"
Koramangala 7th Block,Bangalore Koramangala 7th Block,"(12.9364846, 77.6134783)"
Bellandur,Bangalore Bellandur,"(12.9361208, 77.66718430340032)"
Whitefield,Bangalore Whitefield,"(44.3732302, -71.6119206)"
East Bangalore,Bangalore East Bangalore,"(12.98815675, 77.62260003796)"
Old Airport Road,Bangalore Old Airport Road,"(7.122850505020128, 125.6540124176784)"
Indiranagar,Bangalore Indiranagar,"(12.9732913, 77.6404672)"
Koramangala 1st Block,Bangalore Koramangala 1st Block,"(12.9277245, 77.6327822)"
Frazer Town,Bangalore Frazer Town,"(12.9986827, 77.615525)"
MG Road,Bangalore MG Road,"(12.9755264, 77.6067902)"
Brigade Road,Bangalore Brigade Road,"(-36.97491687792355, 174.7822814774719)"
Lavelle Road,Bangalore Lavelle Road,"(-36.88680480036369, 174.63767241175492)"
Church Street,Bangalore Church Street,"(40.71626903932852, -74.00687308628396)"
Ulsoor,Bangalore Ulsoor,"(12.9778793, 77.6246697)"
Residency Road,Bangalore Residency Road,"(13.053510009509699, 77.62325764789338)"
Shivajinagar,Bangalore Shivajinagar,"(18.5325915, 73.8513115)"
Infantry Road,Bangalore Infantry Road,"(12.980005949674641, 77.60500064990403)"
St. Marks Road,Bangalore St. Marks Road,"(51.48038197358518, -0.10832754982442161)"
Cunningham Road,Bangalore Cunningham Road,"(12.990433971145098, 77.59082718947293)"
Race Course Road,Bangalore Race Course Road,"(1.31201545, 103.85306445)"
Commercial Street,Bangalore Commercial Street,"(51.51648550357681, -0.07282512799342848)"
Vasanth Nagar,Bangalore Vasanth Nagar,"(12.9934283, 77.5902145)"
Domlur,Bangalore Domlur,"(12.9624669, 77.6381958)"
Koramangala 8th Block,Bangalore Koramangala 8th Block,"(12.9408685, 77.617338)"
Ejipura,Bangalore Ejipura,"(12.945245, 77.6269144)"
Jeevan Bhima Nagar,Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
Old Madras Road,Bangalore Old Madras Road,"(13.018286080280056, 77.70647704989025)"
Seshadripuram,Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
Kammanahalli,Bangalore Kammanahalli,"(13.0093455, 77.6377094)"
Koramangala 6th Block,Bangalore Koramangala 6th Block,"(12.9390255, 77.6238477)"
Majestic,Bangalore Majestic,"(37.5339963, -82.0998518)"
Langford Town,Bangalore Langford Town,"(12.957998, 77.6037312)"
Central Bangalore,Bangalore Central Bangalore,"(12.9896451, 77.5727101)"
Sanjay Nagar,Bangalore Sanjay Nagar,"(30.1915796, 74.9408769)"
Brookefield,Bangalore Brookefield,"(33.5934382, -79.0347133)"
"ITPL Main Road, Whitefield","Bangalore ITPL Main Road, Whitefield","(12.9697674, 77.7126289)"
"Varthur Main Road, Whitefield","Bangalore Varthur Main Road, Whitefield","(12.95825925, 77.7453915437321)"
Koramangala 2nd Block,Bangalore Koramangala 2nd Block,"(12.9243692, 77.6242433)"
Koramangala 3rd Block,Bangalore Koramangala 3rd Block,"(12.9282918, 77.6254034)"
Koramangala 4th Block,Bangalore Koramangala 4th Block,"(12.9327778, 77.6294052)"
Koramangala,Bangalore Koramangala,"(12.9340114, 77.6222304)"
Hosur Road,Bangalore Hosur Road,"(12.950494401582365, 77.60558603359456)"
Rajajinagar,Bangalore Rajajinagar,"(13.0005359, 77.5496996)"
RT Nagar,Bangalore RT Nagar,"(13.0227204, 77.595715)"
Banaswadi,Bangalore Banaswadi,"(13.0141618, 77.6518539)"
North Bangalore,Bangalore North Bangalore,"(12.98815675, 77.62260003796)"
Nagawara,Bangalore Nagawara,"(23.3839376, 74.2990136)"
Hennur,Bangalore Hennur,"(13.0258087, 77.6305067)"
Kalyan Nagar,Bangalore Kalyan Nagar,"(13.0221416, 77.6403368)"
HBR Layout,Bangalore HBR Layout,"(13.0358698, 77.6323597)"
Rammurthy Nagar,Bangalore Rammurthy Nagar,
Thippasandra,Bangalore Thippasandra,"(12.973936, 77.6509982)"
Kaggadasapura,Bangalore Kaggadasapura,"(12.9846713, 77.6790908)"
Hebbal,Bangalore Hebbal,"(13.0382184, 77.5919)"
Kengeri,Bangalore Kengeri,"(12.9176571, 77.4837568)"
New BEL Road,Bangalore New BEL Road,"(13.026398235874993, 77.57183477342015)"
Sankey Road,Bangalore Sankey Road,"(12.996784247825504, 77.58465594144168)"
Malleshwaram,Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
Sadashiv Nagar,Bangalore Sadashiv Nagar,"(15.8782951, 74.5084834)"
Basaveshwara Nagar,Bangalore Basaveshwara Nagar,"(12.99118045, 77.54489175084052)"
Yeshwantpur,Bangalore Yeshwantpur,"(13.02383, 77.5529215)"
West Bangalore,Bangalore West Bangalore,"(13.0096524, 77.5530535343493)"
Magadi Road,Bangalore Magadi Road,"(12.9756527, 77.5553548)"
Yelahanka,Bangalore Yelahanka,"(13.1006982, 77.5963454)"
Sahakara Nagar,Bangalore Sahakara Nagar,"(17.2569932, 80.1536665)"
Jalahalli,Bangalore Jalahalli,"(13.0394104, 77.5197351)"
Nagarbhavi,Bangalore Nagarbhavi,"(12.9819569258295, 77.51837412776779)"
Peenya,Bangalore Peenya,"(13.0329814, 77.5331801)"
KR Puram,Bangalore KR Puram,"(13.007516, 77.695935)"
